President,Avg Price ($/gal),Peak Price ($/gal),Lowest Price ($/gal),Biggest Weekly Spike (%),Biggest Weekly Drop (%)
Bush,2.135,4.114,1.059,29.6,-31.1
Obama,2.97,3.965,1.724,21.5,-17.4
Trump I,2.476,2.962,1.773,12.7,-19.0
Biden,3.457,5.006,2.392,23.7,-14.5
Trump II,3.127,4.12,2.779,34.9,-7.2
