event,date,base_price,pct_t1,pct_t7,pct_t14,pct_t30,pct_t90,peak_price,peak_pct,days_to_peak,days_to_recovery
Oil price crash,1999-02-01,10.81,-3.89,-7.77,-7.77,0.0,52.17,16.53,52.91,87,
9/11 attacks,2001-09-11,29.12,-3.02,-5.43,-30.87,-26.58,-38.08,29.22,0.34,3,
Iraq invasion,2003-03-20,28.0,-8.61,-2.54,-4.46,-8.0,-5.61,28.97,3.46,83,
Libya civil war,2011-02-17,103.45,-1.21,10.11,10.6,10.32,8.79,126.64,22.42,74,
Ukraine invasion,2022-02-24,101.29,-2.7,13.89,13.08,21.11,14.93,133.18,31.48,12,19.0
Israel-Iran strikes,2025-06-13,76.0,0.0,3.59,-8.72,-6.63,-11.51,80.37,5.75,6,
US-Israel war on Iran,2026-03-02,77.24,7.82,22.15,30.81,30.81,30.81,103.23,33.65,11,
2008 Financial Crisis,2008-07-03,143.95,0.0,-5.65,-6.8,-13.75,-35.96,143.95,0.0,0,
